Auditd FIM Sizing:hostname,Auditd FIM Sizing:role,Auditd FIM Sizing:key,Auditd FIM Sizing:events,Auditd FIM Sizing:bytes_per_day,Auditd FIM Sizing:sample_hours,Count
ATL1CHRONLOG04,untagged,fim.identity,24,9600,24,1
ATL1CHRONLOG04,untagged,fim.sudo,12,4800,24,1
ATL1CHRONLOG04,untagged,fim.ssh,6,2400,24,1
ATL1CHRONLOG04,untagged,fim.usrbin,6,2400,24,1
ATL1CHRONLOG04,untagged,fim.usrsbin,6,2400,24,1
ATL1CHRONLOG04,untagged,fim.cron,36,14400,24,1
ATL1CHRONLOG04,untagged,fim.systemd,12,4800,24,1
ATL1CHRONLOG04,untagged,fim.boot,6,2400,24,1
ATL1CHRONLOG04,untagged,fim.kernel,6,2400,24,1
ATL1CHRONLOG04,untagged,fim.delete,537,322200,24,1
ATL1CHRONLOG04,untagged,fim.perm,12,7200,24,1
ATL1CHRONLOG04,untagged,fim.owner,12,7200,24,1
ATL1CHRONLOG04,untagged,exec.tmp,6,5400,24,1
ATL1CHRONLOG04,untagged,exec.shm,6,5400,24,1
ATL1CHRONLOG04,untagged,exec.vartmp,6,5400,24,1
ATL1CHRONLOG04,untagged,exec.priv_esc,6,5400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.identity,24,9600,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.sudo,12,4800,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.ssh,6,2400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.usrbin,6,2400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.usrsbin,6,2400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.cron,36,14400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.systemd,12,4800,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.boot,6,2400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.kernel,6,2400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.delete,544,326400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.perm,12,7200,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,fim.owner,12,7200,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,exec.tmp,6,5400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,exec.shm,6,5400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,exec.vartmp,6,5400,24,1
atl4chronlog04.admin.myregisteredsite.com,untagged,exec.priv_esc,6,5400,24,1
ATL1CHRONLOG01,untagged,fim.identity,24,9600,24,1
ATL1CHRONLOG01,untagged,fim.sudo,12,4800,24,1
ATL1CHRONLOG01,untagged,fim.ssh,6,2400,24,1
ATL1CHRONLOG01,untagged,fim.usrbin,6,2400,24,1
ATL1CHRONLOG01,untagged,fim.usrsbin,6,2400,24,1
ATL1CHRONLOG01,untagged,fim.cron,36,14400,24,1
ATL1CHRONLOG01,untagged,fim.systemd,12,4800,24,1
ATL1CHRONLOG01,untagged,fim.boot,6,2400,24,1
ATL1CHRONLOG01,untagged,fim.kernel,6,2400,24,1
ATL1CHRONLOG01,untagged,fim.delete,544,326400,24,1
ATL1CHRONLOG01,untagged,fim.perm,12,7200,24,1
ATL1CHRONLOG01,untagged,fim.owner,12,7200,24,1
ATL1CHRONLOG01,untagged,exec.tmp,6,5400,24,1
ATL1CHRONLOG01,untagged,exec.shm,6,5400,24,1
ATL1CHRONLOG01,untagged,exec.vartmp,6,5400,24,1
ATL1CHRONLOG01,untagged,exec.priv_esc,6,5400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.identity,24,9600,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.sudo,12,4800,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.ssh,6,2400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.usrbin,6,2400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.usrsbin,6,2400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.cron,36,14400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.systemd,12,4800,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.boot,6,2400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.kernel,6,2400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.delete,544,326400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.perm,12,7200,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,fim.owner,12,7200,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,exec.tmp,6,5400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,exec.shm,6,5400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,exec.vartmp,6,5400,24,1
pro1chronlog03.admin.myregisteredsite.com,untagged,exec.priv_esc,6,5400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.identity,24,9600,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.sudo,12,4800,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.ssh,6,2400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.usrbin,6,2400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.usrsbin,6,2400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.cron,36,14400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.systemd,12,4800,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.boot,6,2400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.kernel,6,2400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.delete,544,326400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.perm,12,7200,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,fim.owner,12,7200,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,exec.tmp,6,5400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,exec.shm,6,5400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,exec.vartmp,6,5400,24,1
atl4chronlog03.admin.myregisteredsite.com,untagged,exec.priv_esc,6,5400,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.identity,32,12800,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.sudo,16,6400,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.ssh,8,3200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.usrbin,8,3200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.usrsbin,8,3200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.cron,48,19200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.systemd,16,6400,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.boot,8,3200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.kernel,8,3200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.delete,534,320400,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.perm,16,9600,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,fim.owner,16,9600,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,exec.tmp,8,7200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,exec.shm,8,7200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,exec.vartmp,8,7200,24,1
pro1chronlog02.admin.myregisteredsite.com,untagged,exec.priv_esc,8,7200,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.identity,24,9600,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.sudo,12,4800,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.ssh,6,2400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.usrbin,6,2400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.usrsbin,6,2400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.cron,36,14400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.systemd,12,4800,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.boot,6,2400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.kernel,6,2400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.delete,537,322200,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.perm,12,7200,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,fim.owner,12,7200,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,exec.tmp,6,5400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,exec.shm,6,5400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,exec.vartmp,6,5400,24,1
atl4chronlog01.admin.myregisteredsite.com,untagged,exec.priv_esc,6,5400,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.identity,32,12800,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.sudo,16,6400,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.ssh,8,3200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.usrbin,8,3200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.usrsbin,8,3200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.cron,48,19200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.systemd,16,6400,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.boot,8,3200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.kernel,8,3200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.delete,527,316200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.perm,16,9600,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,fim.owner,16,9600,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,exec.tmp,8,7200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,exec.shm,8,7200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,exec.vartmp,8,7200,24,1
atl4chronlog06.admin.myregisteredsite.com,untagged,exec.priv_esc,8,7200,24,1
ATL1NES01,untagged,fim.identity,24,9600,24,1
ATL1NES01,untagged,fim.sudo,12,4800,24,1
ATL1NES01,untagged,fim.ssh,6,2400,24,1
ATL1NES01,untagged,fim.usrbin,6,2400,24,1
ATL1NES01,untagged,fim.usrsbin,6,2400,24,1
ATL1NES01,untagged,fim.cron,36,14400,24,1
ATL1NES01,untagged,fim.systemd,12,4800,24,1
ATL1NES01,untagged,fim.boot,6,2400,24,1
ATL1NES01,untagged,fim.kernel,6,2400,24,1
ATL1NES01,untagged,fim.delete,537,322200,24,1
ATL1NES01,untagged,fim.perm,12,7200,24,1
ATL1NES01,untagged,fim.owner,12,7200,24,1
ATL1NES01,untagged,exec.tmp,6,5400,24,1
ATL1NES01,untagged,exec.shm,6,5400,24,1
ATL1NES01,untagged,exec.vartmp,6,5400,24,1
ATL1NES01,untagged,exec.priv_esc,6,5400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.identity,24,9600,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.sudo,12,4800,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.ssh,6,2400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.usrbin,6,2400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.usrsbin,6,2400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.cron,36,14400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.systemd,12,4800,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.boot,6,2400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.kernel,6,2400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.delete,544,326400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.perm,12,7200,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,fim.owner,12,7200,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,exec.tmp,6,5400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,exec.shm,6,5400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,exec.vartmp,6,5400,24,1
dev1chronlog01.admin.myregisteredsite.com,untagged,exec.priv_esc,6,5400,24,1
ATL1CHRONLOG03,untagged,fim.identity,16,6400,24,1
ATL1CHRONLOG03,untagged,fim.sudo,8,3200,24,1
ATL1CHRONLOG03,untagged,fim.ssh,4,1600,24,1
ATL1CHRONLOG03,untagged,fim.usrbin,4,1600,24,1
ATL1CHRONLOG03,untagged,fim.usrsbin,4,1600,24,1
ATL1CHRONLOG03,untagged,fim.cron,24,9600,24,1
ATL1CHRONLOG03,untagged,fim.systemd,8,3200,24,1
ATL1CHRONLOG03,untagged,fim.boot,4,1600,24,1
ATL1CHRONLOG03,untagged,fim.kernel,4,1600,24,1
ATL1CHRONLOG03,untagged,fim.delete,533,319800,24,1
ATL1CHRONLOG03,untagged,fim.perm,8,4800,24,1
ATL1CHRONLOG03,untagged,fim.owner,8,4800,24,1
ATL1CHRONLOG03,untagged,exec.tmp,4,3600,24,1
ATL1CHRONLOG03,untagged,exec.shm,4,3600,24,1
ATL1CHRONLOG03,untagged,exec.vartmp,4,3600,24,1
ATL1CHRONLOG03,untagged,exec.priv_esc,4,3600,24,1
pro1chronlog01.admin.myregisteredsite.com,untagged,fim.identity,24,9600,24,1
pro1chronlog01.admin.myregisteredsite.com,untagged,fim.sudo,12,4800,24,1
pro1chronlog01.admin.myregisteredsite.com,untagged,fim.ssh,6,2400,24,1
pro1chronlog01.admin.myregisteredsite.com,untagged,fim.usrbin,6,2400,24,1
pro1chronlog01.admin.myregisteredsite.com,untagged,fim.usrsbin,6,2400,24,1
pro1chronlog01.admin.myregisteredsite.com,untagged,fim.cron,36,14400,24,1
